"","Country","Adult population smoking daily","Adult population smoking daily: females","Adult population smoking daily: males","Alcohol consumption among population aged 15 and over","GDP per capita","GDP per hour worked","GDP per Hour Worked","General practitioners as a percentage of total physicians","Gross fixed capital formation","Infant mortality","Labour compensation per unit labour input, total economy","Labour Utilisation","Levels of GDP per capita and labour productivity - Effect of labour utilisation","Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per capita","Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per hour worked","Life expectancy at birth: men","Life expectancy at birth: total","Life expectancy at birth: women","Medical graduates","Neonatal infant mortality rates ","Number of employees in manufacturing in enterprises with 10-19 persons engaged","Number of employees in manufacturing in enterprises with 20-49 persons engaged","Number of employees in manufacturing in enterprises with 250 or more persons engaged","Number of employees in manufacturing in enterprises with 50-249 persons engaged","Number of employees in manufacturing in enterprises with less than 10 persons engaged","Number of enterprises in manufacturing with 10-19 persons engaged","Number of enterprises in manufacturing with 20-49 persons engaged","Number of enterprises in manufacturing with 250 or more persons engaged","Number of enterprises in manufacturing with 50-249 persons engaged","Number of enterprises in manufacturing with less than 10 persons engaged","Nursing graduates","Obesity rate among the adult population","Obesity rate among the adult population: men","Obesity rate among the adult population: women","Other physicians as a percentage of total physicians","Post-neonatal infant mortality rates ","Practising nurses","Practising physicians","Private expenditure on health","Public expenditure on health","Real GDP growth","Real value added in agriculture, hunting and forestry, fishing","Real value added in construction","Real value added in distributive trade, repairs, transport, accommodation and food service activities, information and communication","Real value added in financial and insurance activities, real estate activities, professional, scientific, technical, administrative and support service activities","Real value added in industry, including energy","Real value added in other services activities","Specialists as a percentage of total physicians","Suicide rates","Total expenditure on health","Unit labour costs, total economy","Value added in agriculture, hunting and forestry, fishing","Value added in construction","Value added in financial intermediation, real estate, renting and business activities","Value added in industry, including energy","Value added in manufacturing","Value added in other services activities","Value added in wholesale and retail trade, repairs, hotels and restaurants, transport"
"1","Australia",15.85,14.55,17.2,10.38,31660.1970633333,53,1.2,49.522,5.93275777628571,4.2,4.58333333333333,-0.15,-17,-13,5,79.7,82,84.2,10.648,2.7,0,29.64268,46.70131,0,23.65728,0,8.928195,0,0.7904339,90.28137,63.9933333333333,28.3,28.3,28.3,2.14,1.1,10.145,3.04,2.8787,6.0693,2.96731078942857,6.263216818,4.268516906,3.205336928,2.719412327,2.708202708,4.318286928,48.338,10.25,8.9481,3.48,2.363409526,7.733712118,30.6730543,20.5452145,8.62754907142857,18.70190758,19.98262936
"2","Austria",23.2,19.4,27.3,12.6,31283.8280933333,53.7,1.05,33.3483333333333,0.826182768428571,3.71666666666667,3.22428571428571,-0.3,-16,-15,1,78.3,81.1,83.9,21.906,2.4,6.739634,11.04544,47.22631,25.38808,9.60054,10.92928,7.902551,1.6264,5.1154,74.42638,55.732,12.4,12,12.7,17.4866666666667,1.2,7.53333333333333,4.645,2.5605,8.2164,1.49487817485714,-8.013746014,0.798356827,-0.909516352,1.604345667,2.288982119,1.255795065,49.72,14.2166666666667,10.7769,1.84571428571429,1.596087871,6.802523993,23.79124466,21.77574359,18.754421,20.50392765,25.53047188
"3","Belgium",20.5,17.7,23.6,10.5666666666667,29229.9561577778,61.8,0.2,39.2516666666667,0.487986731857143,3.68333333333333,2.97571428571429,-0.1,-4,-22,-20,77.8,80.5,83.2,7.91,2.2,6.762305,13.22632,42.74642,24.43819,12.82677,6.961188,5.870085,0.8062465,3.26568,82.83229,35.274,13.8,13.1,14.4,1.42666666666667,1.1,10.145,2.91,2.5326,7.9813,1.09862856628571,2.328966521,0.999282566,-0.819445839,-0.259215371,-2.405072651,1.582787652,59.3166666666667,17.55,10.5139,2.80857142857143,0.741840647,5.888211055,28.51941965,15.93556005,14.3075547142857,24.8954923,24.01977447
"4","Brazil",15.5333333333333,12.4166666666667,19.2166666666667,7.05,2.25,19.2,2.85,21.6283333333333,1.38996679114286,16.9833333333333,-0.385,0.45,NA,-57,-24,70.1,73.4,77,12.7783333333333,9.7,8.236731,12.61039,51.01726,21.45871,6.676892,18.08349,11.45639,1.301067,6.057634,63.10141,71.6133333333333,15.8,15.6,16,2.14,4.2,0.9825,1.79,5.823529453,3.074081356,2.08773999342857,-8.013746014,-8.556818681,-12.0530349,7.199980711,3.88371063,9.533990163,79.7425,5.42,8.897610808,-0.31,8.850519375,3.805384621,18.32911951,33.84114169,6.64253217142857,25.58618746,16.34448127
"5","Canada",16.78,14.62,19.02,8.11666666666667,30246.16804,51.8,0.65,47.4833333333333,2.603020949,5.025,3.276,-0.25,-19,-20,-1,78.7,81,83.3,6.67833333333333,3.7,9.347226,9.164166,49.34533,29.65814,11.95466,14.24035,11.06468,0.6351328,5.916764,68.14307,45.47,25.4,25.4,25.4,29.212,1.2,9.14833333333333,3.8225,3.3098,7.8686,1.48487915814286,1.880048118,7.825105112,3.929723339,2.208255478,5.875860332,2.062378198,52.5166666666667,10.725,11.1784,2.714,0.83710758,1.559686795,31.30664642,33.84114169,13.1476673333333,13.46179357,16.09494131
"6","Chile",29.8,26,33.7,8.6,13764.18821,27.2,2.75,55.0966666666667,8.57716685085714,7.8,2.86833333333333,0.35,-58,-57,2,75.7,78.3,81,5.63285714285714,5.1,8.479681,17.87202,20.4728,16.93942,21.80154,3.136446,9.47629,0.6721956,2.611768,93.72974,26.9285714285714,25.1,25.1,25.1,0,2.3,4.91,0.728333333333333,3.9966,3.5239,4.32574382357143,-0.293931517,8.09826776,6.723893498,7.522824281,3.88371063,5.070526551,44.9033333333333,12.475,7.5206,2.60571428571429,3.632463251,8.270394403,20.12034673,27.68888858,12.268868,21.92732022,18.36058682
"7","China (People's Republic of)",26.1333333333333,2.3,49.7,4.65,5362.75233122222,19.2,2.75,51.2783333333333,5.93275777628571,7.76666666666667,5.9025,-0.3,NA,-15,8,71.8,73.5,75.3,21.906,8.7,8.479681,17.87202,19.52734,21.45871,20.14889,0,3.102359,1.6264,1.49023,82.90118,79.0966666666667,8.1,8.6,13.1,0,3.9,1.404,1.41,3.532424223,1.630380568,10.9057681531667,4.24828539,9.718315142,11.00449585,6.94650516,10.3794129,9.533990163,87.68,30.75,5.162804791,2.84571428571429,10.09238306,6.83917043,11.12420207,38.47648067,26.7183194,17.12328251,16.34448127
"8","Czech Republic",24.6,19.4,30,11.85,20095.8239377778,31,1.55,19.7616666666667,1.280752565,2.91666666666667,3.36857142857143,-0.25,-52,-48,7,74.8,78,81.1,12.0666666666667,1.7,5.573044,9.989892,42.39408,26.67743,15.36563,2.967361,2.4055,0.4529512,1.84364,92.33055,23.8583333333333,21,21,21,1.5875,1,8.02666666666667,3.575,1.1863,6.3147,2.08773999342857,-4.050907962,-5.847786655,-0.407407053,1.458756679,-0.773905108,-2.360235701,78.8,13.2333333333333,7.5011,1.23857142857143,2.35884136,6.280229345,18.32911951,30.9925988,24.2507372857143,17.54719435,24.49201663
"9","Denmark",22.2,20.6,24,11.0333333333333,30864.8950266667,59.5,0.55,20.31,-0.459286431714286,3.6,3.03285714285714,-1.1,-7,-18,-12,77.8,79.9,81.9,15.8183333333333,2.8,7.020389,12.81122,43.14931,26.53859,10.48049,8.189399,6.660711,0.8636093,4.069883,80.2164,79.0966666666667,13.4,13.7,13.1,39.2125,0.8,14.735,3.4225,1.5969,9.2702,0.0896031321428571,-2.788873557,-1.396293082,0.223534575,-0.054158965,-0.330621975,-0.412727717,40.475,10.4833333333333,10.8671,2.60571428571429,1.443201292,4.750431606,25.73973922,17.04803782,12.1512337142857,27.34210217,23.67648789
"10","Estonia",26.7333333333333,18.4333333333333,38.6333333333333,12.95,16727.6104733333,27.8,2.75,25.6466666666667,3.03342283571429,3.96666666666667,8.68571428571429,-1.05,-57,-54,5,71.2,76.3,81.3,9.19666666666667,1.6,8.493237,17.79943,23.43701,36.95148,13.31885,9.939414,9.972163,0.9824791,6.566236,72.53971,34.6016666666667,16.9,17,16.8,8.55333333333333,0.9,6.25166666666667,3.255,1.2247,4.6973,2.20023938857143,12.35765171,12.47821038,8.22399711,0.644966282,-0.708123817,2.701348461,65.8016666666667,17.2333333333333,5.922,5.72857142857143,4.138689717,7.789146564,23.30284904,21.15849964,15.7218607142857,16.66566444,26.94515061
"11","Euro area (17 countries)",22.2,21.4666666666667,17.2428571428571,4.65,34581.0188342857,59.5,1.5,47.4833333333333,-0.882176577857143,2.48333333333333,2.86833333333333,-0.7,NA,-65,-11,80.1,78.7,84.2,14.48,6.5,10.60865,7.713061,51.01726,29.86535,12.86437,14.82233,6.660711,0.0397518,6.478654,70.82809,18.308,24.8,23,25.4,0,1.9,4.91,3.8225,3.5807,4.8288,0.721446337571429,-4.711762141,-4.266852656,-0.604267324,0.408326404,-0.999488641,0.078210268,59.905,16.15,7.5206,1.82714285714286,1.689053335,5.766664021,26.91775172,19.2861794,16.2095298571429,23.18399108,23.15636044
"12","European Union (28 countries)",22.1166666666667,27,44.7333333333333,4.65,31858.4246271429,31,1.35,39.2516666666667,-0.434723265285714,2.56666666666667,2.26428571428571,0.3,NA,-65,21,79.9,82.7,85.4,13.21,1.6,10.60865,7.713061,43.14931,17.26295,21.80154,3.934832,4.279584,0.3575083,2.139963,90.28137,18.308,25.1,28.3,23.5,2.14,0.2,10.8533333333333,0.728333333333333,2.238288025,6.382133404,0.844485034714286,-2.432604838,-4.161050277,-0.132185896,0.829635444,-1.307643042,0.518338535,78.8,17.55,8.620421429,1.27285714285714,1.74331387,5.926169744,26.23779719,19.34717159,15.5806781428571,22.75104352,23.99450321
"13","Finland",19.6333333333333,16.6,23.5333333333333,10.0666666666667,28627.4154566667,49,0.25,33.9683333333333,0.722306442714286,2.56666666666667,3.28428571428571,-0.2,-24,-26,-3,77.3,80.6,83.8,10.2071428571429,1.6,6.199778,11.23917,48.43808,23.31399,10.80899,7.438505,5.562126,0.9263639,3.512299,82.56071,57.5614285714286,16.6,17.5,16,19.1783333333333,0.8,9.638,2.69666666666667,2.2121,6.7897,0.966264314571429,-4.287200832,-4.824409902,1.364547401,1.74591116,-5.318844724,-0.657571285,46.8533333333333,18.2333333333333,9.0019,3.02714285714286,2.828803905,6.941835249,23.61444182,19.04776287,19.1779445714286,25.08834349,22.47881266
"14","France",25.1333333333333,21.4666666666667,29.3333333333333,12.4666666666667,26783.2936688889,59.5,0.55,48.4714285714286,0.444012586285714,3.7,2.56714285714286,-0.55,-7,-30,-24,78.7,82.2,85.7,5.655,2.3,6.010133,11.0921,46.30342,21.28193,15.31243,5.527218,4.643845,0.6721956,2.636403,86.38648,34.1316666666667,12.9,12.4,13.4,1.42666666666667,1.2,10.145,3.08,2.7048,8.9294,0.755694854428571,-5.771403715,-0.675854299,0.671828718,0.345845304,-1.097314915,0.645307859,51.5285714285714,16.15,11.6343,1.90142857142857,1.968773843,6.267981626,30.39513815,12.53503459,10.8909984428571,26.03300875,22.80006304
"15","Germany",21.9,17.6,26.4,12.05,29268.2087644444,58.3,0.65,42.0833333333333,1.86893735042857,3.61666666666667,1.98428571428571,0.3,-9,-20,-12,78.4,80.8,83.2,11.73,2.4,8.479681,7.713061,52.10821,24.60164,7.097416,20.6635,7.804894,1.958693,7.958886,61.61403,27.72,14.7,15.7,13.8,0,1.2,10.8533333333333,3.62,2.6684,8.6638,1.56302919857143,1.628026013,-2.361540489,0.926802478,2.137150397,-0.443183833,0.969332355,57.9166666666667,10.5166666666667,11.3323,0.944285714285714,0.83710758,4.664004793,27.15865242,25.84810561,22.043152875,22.91068758,18.58144202
"16","Greece",37.2,30.1333333333333,44.7333333333333,8.825,21532.5566222222,34.5,0,4.84333333333333,-6.31206570285714,3.36666666666667,0.844285714285714,-2.35,-46,-51,-9,78.5,80.8,83.1,14.48,2.2,6.606245,7.713061,23.43701,17.26295,6.676892,2.967361,7.804894,0.7838948,0.2165752,87.38017,69.22,17.3,17.3,17.3,36.89,1.2,9.56,2.50714285714286,3.1905,5.9391,-1.81870470157143,-3.22408342,-15.57014943,-12.0530349,-2.392631149,-1.691491317,-4.847437117,58.2666666666667,3.1,9.1296,0.534285714285714,3.372758382,2.120267015,26.39558668,14.31152744,9.36298244285714,25.58618746,28.21367302
"17","Hungary",26.5,21.7,31.9,11.98,16030.6987888889,28.3,1.35,11.695,-3.59762443585714,5.41666666666667,3.66857142857143,-0.95,-56,-57,-3,71.2,75,78.7,10.21,3.1,6.689741,10.40723,43.83817,26.11919,12.94567,6.399696,4.355776,0.7838948,3.276789,85.14944,32.6366666666667,20,20,20,28.4,1.8,6.165,2.96166666666667,2.7576,5.1301,-0.129971657714286,-18.91773005,-6.334782899,-0.537034292,-1.545582649,-1.30953479,0.71515359,59.905,23.2666666666667,7.8877,2.79428571428571,4.742821553,3.805384621,21.76841712,26.78926137,21.8983301428571,20.04346063,22.8506547
"18","Iceland",16.1571428571429,15.1,17.2428571428571,7.33333333333333,29344.32049,41.7,1.35,16.2171428571429,-7.09931757757143,1.8,5.48428571428571,-1.75,-35,-27,12,80.7,82.4,84.1,13.21,0.966666667,10.18447,17.01746,80.13398,29.65814,6.676892,14.82233,3.337723,0.8158332,5.916764,74.42638,81.51,21,21,21,21.2685714285714,0.666666667,14.62,3.59571428571429,1.7718,7.2553,0.757174115,3.561560994,-0.436887519,9.428738627,0.80961716,2.332237321,-0.261268118,62.5157142857143,11.75,9.027,4.715,8.252788094,4.407451118,22.59997212,20.98255308,12.6607835,22.912836,20.84439959
